"You must provide a customer email and password.", "You must provide a customer email and password."
"Sorry, your email address and password combination doesn't match our records. Please check what you've entered and try again.", "Sorry, your email address and password combination doesn't match our records. Please check what you've entered and try again."
"Insufficient quantity", "Insufficient quantity"
"Giftcard code and pin are required", "Giftcard code and pin are required"
"Invalid code", "Invalid code"
"Invalid card", "Invalid card"
"Cannot apply gift card", "Cannot apply gift card"
"shipping_method is required", "shipping_method is required"
"Sorry, we were not able to find that post code.", "Sorry, we were not able to find that post code."
"Unable to find stores in that area", "Unable to find stores in that area"
"Could not find stores in that area.", "Could not find stores in that area."
"store_id is required", "store_id is required"
"Could not load CMS content", "Could not load CMS content"
"You must provide a customer email.", "You must provide a customer email."
"Customer does not exist", "Customer does not exist"
"Password is required.", "Password is required."
"A customer with this email already exists.", "A customer with this email already exists."
"Address must have an id", "Address must have an id"
"Customer must be logged in to change address", "Customer must be logged in to change address"
"Address does not belong to logged in customer", "Address does not belong to logged in customer"
"Unable to save address", "Unable to save address"
"Increment id required.", "Increment id required."
"You are not authorised to view this order.", "You are not authorised to view this order."
"Could not place order", "Could not place order"

